location,total_cases,total_deaths
Afghanistan,6402,168
Albania,916,31
Algeria,6629,536
Andorra,761,49
Angola,48,2
Anguilla,3,0
Antigua and Barbuda,25,3
Argentina,7466,356
Armenia,4044,52
Aruba,101,3
Australia,7019,98
Austria,16068,628
Azerbaijan,2980,36
Bahamas,96,11
Bahrain,6583,12
Bangladesh,20065,298
Barbados,85,7
Belarus,27730,156
Belgium,54644,8959
Belize,18,2
Benin,339,2
Bermuda,123,9
Bhutan,21,0
Bolivia,3577,164
Bonaire Sint Eustatius and Saba,6,0
Bosnia and Herzegovina,2237,127
Botswana,24,1
Brazil,218223,14817
British Virgin Islands,8,1
Brunei,141,1
Bulgaria,2138,102
Burkina Faso,782,51
Burundi,27,1
Cambodia,122,0
Cameroon,3105,140
Canada,74602,5562
Cape Verde,326,2
Cayman Islands,93,1
Central African Republic,301,0
Chad,428,48
Chile,39542,394
China,84038,4637
Colombia,14216,546
Comoros,11,1
Congo,391,15
Costa Rica,843,8
Cote d'Ivoire,2017,24
Croatia,2222,95
Cuba,1840,79
Curacao,16,1
Cyprus,910,17
Czech Republic,8406,295
Democratic Republic of Congo,1369,61
Denmark,10791,537
Djibouti,1309,4
Dominica,16,0
Dominican Republic,11739,424
Ecuador,31467,2594
Egypt,11228,592
El Salvador,1265,25
Equatorial Guinea,594,7
Eritrea,39,0
Estonia,1766,63
Ethiopia,287,5
Faeroe Islands,187,0
Falkland Islands,13,0
Fiji,18,0
Finland,6228,293
France,141919,27529
French Polynesia,60,0
Gabon,1209,10
Gambia,23,1
Georgia,671,12
Germany,173772,7881
Ghana,5638,28
Gibraltar,147,0
Greece,2810,160
Greenland,11,0
Grenada,22,0
Guam,154,5
Guatemala,1643,30
Guernsey,252,13
Guinea,2531,15
Guinea-Bissau,913,3
Guyana,116,10
Haiti,310,20
Honduras,2460,134
Hong Kong,0,0
Hungary,3473,448
Iceland,1802,10
India,85940,2752
Indonesia,16496,1076
Iran,116635,6902
Iraq,3193,117
Ireland,23956,1518
Isle of Man,334,24
Israel,16589,266
Italy,223885,31610
Jamaica,511,9
Japan,16237,725
Jersey,297,27
Jordan,596,9
Kazakhstan,5850,34
Kenya,781,45
Kosovo,944,29
Kuwait,12860,96
Kyrgyzstan,1117,14
Laos,19,0
Latvia,970,19
Lebanon,891,26
Lesotho,1,0
Liberia,219,20
Libya,64,3
Liechtenstein,83,1
Lithuania,1523,54
Luxembourg,3923,104
Macedonia,1740,97
Madagascar,238,0
Malawi,63,3
Malaysia,6855,112
Maldives,1031,4
Mali,806,46
Malta,532,6
Mauritania,29,3
Mauritius,332,10
Mexico,45032,4767
Moldova,5745,197
Monaco,96,5
Mongolia,135,0
Montenegro,324,9
Montserrat,11,1
Morocco,6652,190
Mozambique,119,0
Myanmar,182,6
Namibia,16,0
Nepal,276,0
Netherlands,43681,5643
New Caledonia,18,0
New Zealand,1148,21
Nicaragua,25,8
Niger,885,51
Nigeria,5445,171
Northern Mariana Islands,19,2
Norway,8197,232
Oman,4625,19
Pakistan,38799,834
Palestine,554,4
Panama,9268,266
Papua New Guinea,8,0
Paraguay,759,11
Peru,84495,2393
Philippines,12091,806
Poland,18016,907
Portugal,28583,1190
Puerto Rico,2542,122
Qatar,29425,14
Romania,16437,1056
Russia,262843,2418
Rwanda,287,0
Saint Kitts and Nevis,15,0
Saint Lucia,18,0
Saint Vincent and the Grenadines,17,0
San Marino,652,41
Sao Tome and Principe,235,7
Saudi Arabia,49176,292
Senegal,2310,25
Serbia,10438,225
Seychelles,11,0
Sierra Leone,447,27
Singapore,26891,21
Sint Maarten (Dutch part),77,15
Slovakia,1480,27
Slovenia,1465,103
Somalia,1284,53
South Africa,13524,247
South Korea,11037,262
South Sudan,236,4
Spain,230183,27459
Sri Lanka,935,9
Sudan,1964,91
Suriname,10,1
Swaziland,190,2
Sweden,29207,3646
Switzerland,30431,1594
Syria,50,3
Taiwan,440,7
Tajikistan,1118,33
Tanzania,509,21
Thailand,3025,56
Timor,24,0
Togo,263,11
Trinidad and Tobago,116,8
Tunisia,1035,45
Turkey,146457,4055
Turks and Caicos Islands,12,1
Uganda,203,0
Ukraine,17330,483
United Arab Emirates,21831,210
United Kingdom,236711,33998
United States,1443397,87568
United States Virgin Islands,69,6
Uruguay,732,19
Uzbekistan,2691,11
Vatican,12,0
Venezuela,459,10
Vietnam,313,0
Western Sahara,6,0
Yemen,106,15
Zambia,668,7
Zimbabwe,42,4
