"date","confirmed","deaths","recovered","tests","vaccines"
2021-05-07,4808133,110735,4429201,131176559,1.05219910608726e-316
2021-05-08,4816331,111097,4437289,131472718,1.06703723140912e-316
2021-05-09,4824621,111425,4444712,131731000,0
2021-05-10,4832959,111740,4451443,131924338,1.0763778882897e-316
2021-05-11,4840948,112063,4458408,132134470,1.07925587008329e-316
2021-05-12,4849044,112410,4466782,132405083,1.11539988469015e-316
2021-05-13,4857303,112795,4475999,132774924,1.12562635186716e-316
2021-05-14,4866641,113182,4485592,133136581,1.15077992558884e-316
2021-05-15,4875308,113541,4495406,133510681,1.17875174856753e-316
2021-05-16,4883734,113927,4503945,133819142,1.18429185487404e-316
2021-05-17,4892938,114263,4511096,134032276,1.19008235364986e-316
2021-05-18,4900995,114619,4519888,134308856,1.21141077232831e-316
2021-05-19,4908794,115003,4529214,134646018,1.22839057341176e-316
2021-05-20,4917906,115393,4538909,135005007,1.24341298521952e-316
2021-05-21,4926717,115764,4548028,135339887,1.25828920300267e-316
2021-05-22,4935302,116144,4557146,135700157,1.30530760247449e-316
2021-05-23,4944129,116497,4564408,135989328,1.30791577501889e-316
2021-05-24,4952412,116812,4570842,136195853,1.32421075171063e-316
2021-05-25,4960174,117197,4579421,136467759,1.33530119148253e-316
2021-05-26,4968421,117595,4588421,136806625,1.36420709497124e-316
2021-05-27,4977332,117990,4598014,137180661,1.37053592767478e-316
2021-05-28,4986458,118386,4607276,137550443,1.38896151305765e-316
2021-05-29,4995613,118781,4616422,137933200,1.40142125576699e-316
2021-05-30,5005171,119130,4623764,138276716,1.40559462827741e-316
2021-05-31,5013512,119464,4630461,138547723,1.40816796919378e-316
2021-06-01,5022881,119830,4639309,138853290,1.44885694308329e-316
2021-06-02,5031583,120217,4648191,139204626,1.47196829645789e-316
2021-06-03,5040390,120604,4657460,139597578,1.48227252956755e-316
2021-06-04,5049210,120974,4665909,139978926,1.50698223471301e-316
2021-06-05,5058221,121365,4674372,140462025,1.51216419283285e-316
2021-06-06,5067246,121711,4681664,140650440,1.51717925557753e-316
2021-06-07,5076543,122037,4688413,140875265,1.53408232826618e-316
2021-06-08,5086386,122409,4697191,141180404,1.54621737103307e-316
2021-06-09,5096657,122802,4706871,141549136,1.5615299970012e-316
2021-06-10,5108217,123178,4716833,141949258,1.5786951221084e-316
2021-06-11,5120578,123568,4726870,142356323,1.59420868457469e-316
2021-06-12,5133938,123961,4736676,142777182,1.61728500869499e-316
2021-06-13,5148499,124314,4745756,143102920,1.62207660554806e-316
2021-06-14,5162049,124681,4754036,143356426,1.62378162609185e-316
2021-06-15,5176051,125055,4762583,143625828,1.62582962700699e-316
2021-06-16,5189260,125443,4772575,143977682,1.64129106554764e-316
2021-06-17,5203117,125853,4783662,144422331,1.67602328757151e-316
2021-06-18,5220168,126300,4794436,144895670,1.69649544107915e-316
2021-06-19,5237847,126761,4804943,145367102,1.7178120021821e-316
2021-06-20,5255214,127206,4813476,145751046,1.72435353014617e-316
2021-06-21,5272328,127641,4821808,146025652,1.74098081539131e-316
2021-06-22,5288766,128180,4832838,146462538,1.77780456551371e-316
2021-06-23,5306069,128719,4845313,146938862,1.78081698256954e-316
2021-06-24,5325940,129278,4858571,147444161,1.82657418066722e-316
2021-06-25,5346005,129869,4872411,147954348,1.85783924761483e-316
2021-06-26,5367317,130479,4886550,148456274,1.88230182112424e-316
2021-06-27,5387486,131070,4899158,148983476,1.89919644529034e-316
2021-06-28,5408744,131671,4911752,149231801,1.91565940430168e-316
2021-06-29,5428961,132314,4926182,149641709,1.9430823697544e-316
2021-06-30,5449594,132973,4942283,150121327,1.97764320040572e-316
2021-07-01,5472722,133633,4958951,150726627,2.01951086670652e-316
2021-07-02,5495513,134302,4976901,151293749,2.06627116628496e-316
2021-07-03,5519516,134987,4994543,151877933,2.09731197683592e-316
2021-07-04,5544209,135637,5009893,152366325,2.1161122616046e-316
2021-07-05,5568104,136279,5024368,152752204,2.12612712046549e-316
2021-07-06,5591030,137005,5042516,153225588,2.18959523798934e-316
2021-07-07,5614540,137718,5062325,153633614,2.22631607423772e-316
2021-07-08,5638901,138441,5083251,154194977,2.25150314561019e-316
2021-07-09,5664200,139156,5104709,154925251,2.30364248609459e-316
2021-07-10,5688807,139896,5122104,155519379,2.33865815357947e-316
2021-07-11,5713351,140635,5139253,155974010,2.3503803550927e-316
2021-07-12,5738000,141335,5155574,156326492,2.36208595600023e-316
2021-07-13,5762211,142102,5174813,156769350,2.40579120065761e-316
2021-07-14,5785542,142877,5195394,157370377,2.45835667276155e-316
2021-07-15,5810335,143657,5216331,157948171,2.48928246483016e-316
2021-07-16,5835523,144446,5237909,158547128,2.58541039661982e-316
2021-07-17,5860113,145222,5258917,159128331,2.59242602997764e-316
2021-07-18,5884593,145975,5277561,NA,2.60782116490862e-316
2021-07-19,5908691,146686,5296250,159930099,2.61483818165024e-316
2021-07-20,5931925,147457,5318062,NA,2.70577046970168e-316
2021-07-21,5955089,148229,5340283,NA,2.73110753940423e-316
2021-07-22,5979027,149012,5362424,161445792,2.75835743366121e-316
2021-07-23,6002303,149796,5384350,NA,2.82205366129375e-316
2021-07-24,6025698,150583,5405818,NA,2.83166546140076e-316
2021-07-25,6049215,151352,5424361,NA,2.84057227923773e-316
2021-07-26,6071893,152069,5440451,163298650,2.85226330520871e-316
2021-07-27,6094379,152836,5459932,NA,2.89660515345075e-316
2021-07-28,6116249,153620,5480150,NA,2.92596599258616e-316
2021-07-29,6138969,154404,5500409,164790024,2.96865706869231e-316
2021-07-30,6161985,155180,5520398,NA,3.01362973995097e-316
2021-07-31,6185249,155952,5539787,NA,3.05836901459852e-316
2021-08-01,6207513,156726,5556831,NA,3.07435356984499e-316
2021-08-02,6230482,157496,5571532,166595259,3.0814601606882e-316
2021-08-03,6251953,158263,5590137,NA,3.11785175159019e-316
2021-08-04,6274006,159032,5609682,NA,3.17568381525911e-316
2021-08-05,6296570,159803,NA,168010266,3.19229993462065e-316
2021-08-06,6318643,160574,NA,NA,3.21602259541885e-316
2021-08-07,6340370,161343,NA,NA,3.25520946152531e-316
2021-08-08,6362641,162109,NA,NA,3.27296385872831e-316
2021-08-09,6384195,162860,NA,169763737,3.27907258518662e-316
2021-08-10,6404960,163629,NA,NA,3.32706167543283e-316
2021-08-11,6425918,164413,NA,NA,3.36014510158339e-316
2021-08-12,6447229,165201,NA,171145970,3.39145423918661e-316
2021-08-13,6468890,165996,NA,NA,3.50950984187656e-316
2021-08-14,6490421,166795,NA,NA,3.60152363962675e-316
2021-08-15,6511431,167595,NA,NA,3.61478930221758e-316
2021-08-16,6531585,168384,NA,172840809,3.63186129595055e-316
2021-08-17,6551934,169169,NA,NA,3.65611809111846e-316
2021-08-18,6572246,169948,NA,NA,3.67712620703871e-316
2021-08-19,6592705,170716,NA,174175810,3.70763169746241e-316
2021-08-20,6613107,171480,NA,NA,3.73898441165559e-316
2021-08-21,6633521,172257,NA,NA,3.77753047461939e-316
2021-08-22,6653498,173003,NA,175504485,3.79451699499563e-316
2021-08-23,6672373,173768,NA,NA,3.80220124739196e-316
2021-08-24,6690633,174542,NA,NA,3.83282842618422e-316
2021-08-25,6709605,175328,NA,NA,3.85634802600198e-316
2021-08-26,6728699,176127,NA,177197247,3.87502449791981e-316
2021-08-27,6747681,176904,NA,NA,3.90955420243545e-316
2021-08-28,6766667,177679,NA,NA,3.9274939236622e-316
2021-08-29,6785465,178457,NA,NA,3.9381390620675e-316
2021-08-30,6803323,179233,NA,178771940,3.95311942888879e-316
2021-08-31,6820697,180009,NA,NA,3.96460635634147e-316
