<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
LME.Copper,D,16/02/20,00:00:00,5746.3680950
LME.Copper,D,17/02/20,00:00:00,5775.0282850
LME.Copper,D,18/02/20,00:00:00,5754.0843000
LME.Copper,D,19/02/20,00:00:00,5767.3120800
LME.Copper,D,20/02/20,00:00:00,5702.2754950
LME.Copper,D,21/02/20,00:00:00,5734.2426300
LME.Copper,D,23/02/20,00:00:00,5671.4106750
LME.Copper,D,24/02/20,00:00:00,5678.0245650
LME.Copper,D,25/02/20,00:00:00,5660.3875250
LME.Copper,D,26/02/20,00:00:00,5670.3083600
LME.Copper,D,27/02/20,00:00:00,5582.1231600
LME.Copper,D,28/02/20,00:00:00,5609.6810350
LME.Copper,D,01/03/20,00:00:00,5685.7407700
LME.Copper,D,02/03/20,00:00:00,5730.9356850
LME.Copper,D,03/03/20,00:00:00,5707.7870700
LME.Copper,D,04/03/20,00:00:00,5726.5264250
LME.Copper,D,05/03/20,00:00:00,5647.1597450
LME.Copper,D,06/03/20,00:00:00,5630.6250200
LME.Copper,D,08/03/20,00:00:00,5496.1425900
LME.Copper,D,09/03/20,00:00:00,5617.3972400
LME.Copper,D,10/03/20,00:00:00,5584.3277900
LME.Copper,D,11/03/20,00:00:00,5423.3898000
LME.Copper,D,12/03/20,00:00:00,5366.0694200
LME.Copper,D,13/03/20,00:00:00,5497.2449050
LME.Copper,D,15/03/20,00:00:00,5390.3203500
LME.Copper,D,16/03/20,00:00:00,5294.4189450
LME.Copper,D,17/03/20,00:00:00,5144.5041050
LME.Copper,D,18/03/20,00:00:00,4462.1711200
LME.Copper,D,19/03/20,00:00:00,4713.4989400
LME.Copper,D,20/03/20,00:00:00,4746.5683900
LME.Copper,D,22/03/20,00:00:00,4565.7887300
LME.Copper,D,23/03/20,00:00:00,4689.2480100
LME.Copper,D,24/03/20,00:00:00,4834.7535900
LME.Copper,D,25/03/20,00:00:00,4818.2188650
LME.Copper,D,26/03/20,00:00:00,4828.1397000
LME.Copper,D,27/03/20,00:00:00,4777.4332100
LME.Copper,D,29/03/20,00:00:00,4759.7961700
LME.Copper,D,30/03/20,00:00:00,4827.0373850
LME.Copper,D,31/03/20,00:00:00,4855.6975750
LME.Copper,D,01/04/20,00:00:00,4803.8887700
LME.Copper,D,02/04/20,00:00:00,4872.2323000
LME.Copper,D,03/04/20,00:00:00,4800.5818250
LME.Copper,D,05/04/20,00:00:00,4878.8461900
LME.Copper,D,06/04/20,00:00:00,5004.5101000
LME.Copper,D,07/04/20,00:00:00,5021.0448250
LME.Copper,D,08/04/20,00:00:00,5011.1239900
LME.Copper,D,09/04/20,00:00:00,5004.5101000
LME.Copper,D,12/04/20,00:00:00,5119.1508600
LME.Copper,D,13/04/20,00:00:00,5130.1740100
LME.Copper,D,14/04/20,00:00:00,5127.9693800
LME.Copper,D,15/04/20,00:00:00,5068.4443700
LME.Copper,D,16/04/20,00:00:00,5164.3457750
LME.Copper,D,17/04/20,00:00:00,5157.7318850
LME.Copper,D,19/04/20,00:00:00,5176.4712400
LME.Copper,D,20/04/20,00:00:00,5008.9193600
LME.Copper,D,21/04/20,00:00:00,4883.2554500
LME.Copper,D,22/04/20,00:00:00,5049.7050150
LME.Copper,D,23/04/20,00:00:00,5072.8536300
LME.Copper,D,24/04/20,00:00:00,5195.2105950
LME.Copper,D,26/04/20,00:00:00,5247.0194000
LME.Copper,D,27/04/20,00:00:00,5174.2666100
LME.Copper,D,28/04/20,00:00:00,5205.1314300
LME.Copper,D,29/04/20,00:00:00,5259.1448650
LME.Copper,D,30/04/20,00:00:00,5059.6258500
