<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
LME.Lead,D,17/02/20,00:00:00,1903.0000000
LME.Lead,D,18/02/20,00:00:00,1965.5000000
LME.Lead,D,19/02/20,00:00:00,1929.5000000
LME.Lead,D,20/02/20,00:00:00,1933.5000000
LME.Lead,D,21/02/20,00:00:00,1870.7500000
LME.Lead,D,24/02/20,00:00:00,1874.5000000
LME.Lead,D,25/02/20,00:00:00,1912.5000000
LME.Lead,D,26/02/20,00:00:00,1851.0000000
LME.Lead,D,27/02/20,00:00:00,1842.0000000
LME.Lead,D,28/02/20,00:00:00,1887.0000000
LME.Lead,D,02/03/20,00:00:00,1888.2500000
LME.Lead,D,03/03/20,00:00:00,1893.2500000
LME.Lead,D,04/03/20,00:00:00,1861.2500000
LME.Lead,D,05/03/20,00:00:00,1875.5000000
LME.Lead,D,06/03/20,00:00:00,1887.5000000
LME.Lead,D,09/03/20,00:00:00,1849.5000000
LME.Lead,D,10/03/20,00:00:00,1859.5000000
LME.Lead,D,11/03/20,00:00:00,1778.5000000
LME.Lead,D,12/03/20,00:00:00,1776.2500000
LME.Lead,D,13/03/20,00:00:00,1734.7500000
LME.Lead,D,16/03/20,00:00:00,1711.0000000
LME.Lead,D,17/03/20,00:00:00,1602.7500000
LME.Lead,D,18/03/20,00:00:00,1664.0000000
LME.Lead,D,19/03/20,00:00:00,1611.5000000
LME.Lead,D,20/03/20,00:00:00,1673.5000000
LME.Lead,D,23/03/20,00:00:00,1594.7500000
LME.Lead,D,24/03/20,00:00:00,1565.7500000
LME.Lead,D,25/03/20,00:00:00,1626.5000000
LME.Lead,D,26/03/20,00:00:00,1674.7500000
LME.Lead,D,27/03/20,00:00:00,1693.5000000
LME.Lead,D,30/03/20,00:00:00,1693.5000000
LME.Lead,D,31/03/20,00:00:00,1733.7100000
LME.Lead,D,01/04/20,00:00:00,1710.1400000
LME.Lead,D,02/04/20,00:00:00,1686.7500000
LME.Lead,D,03/04/20,00:00:00,1642.0000000
LME.Lead,D,06/04/20,00:00:00,1660.5300000
LME.Lead,D,07/04/20,00:00:00,1725.0000000
LME.Lead,D,08/04/20,00:00:00,1703.8000000
LME.Lead,D,09/04/20,00:00:00,1703.0000000
LME.Lead,D,14/04/20,00:00:00,1673.0000000
LME.Lead,D,15/04/20,00:00:00,1679.7500000
LME.Lead,D,16/04/20,00:00:00,1673.7500000
LME.Lead,D,17/04/20,00:00:00,1653.2500000
LME.Lead,D,20/04/20,00:00:00,1667.4000000
LME.Lead,D,21/04/20,00:00:00,1641.5500000
LME.Lead,D,22/04/20,00:00:00,1644.0000000
LME.Lead,D,23/04/20,00:00:00,1626.0000000
LME.Lead,D,24/04/20,00:00:00,1594.0000000
LME.Lead,D,27/04/20,00:00:00,1613.5000000
LME.Lead,D,28/04/20,00:00:00,1619.5000000
LME.Lead,D,29/04/20,00:00:00,1623.7500000
LME.Lead,D,30/04/20,00:00:00,1610.2500000
LME.Lead,D,01/05/20,00:00:00,1603.5000000
LME.Lead,D,04/05/20,00:00:00,1605.5200000
LME.Lead,D,05/05/20,00:00:00,1609.0000000
LME.Lead,D,06/05/20,00:00:00,1608.1000000
LME.Lead,D,07/05/20,00:00:00,1623.0000000
LME.Lead,D,11/05/20,00:00:00,1652.3000000
LME.Lead,D,12/05/20,00:00:00,1616.5000000
LME.Lead,D,13/05/20,00:00:00,1575.8000000
LME.Lead,D,14/05/20,00:00:00,1599.7500000
LME.Lead,D,15/05/20,00:00:00,1579.8500000
LME.Lead,D,18/05/20,00:00:00,1646.7500000
LME.Lead,D,19/05/20,00:00:00,1665.7500000
LME.Lead,D,20/05/20,00:00:00,1682.7500000
LME.Lead,D,21/05/20,00:00:00,1640.5500000
LME.Lead,D,22/05/20,00:00:00,1630.2500000
LME.Lead,D,26/05/20,00:00:00,1671.5000000
LME.Lead,D,27/05/20,00:00:00,1621.0000000
LME.Lead,D,28/05/20,00:00:00,1613.5000000
LME.Lead,D,29/05/20,00:00:00,1655.0000000
LME.Lead,D,01/06/20,00:00:00,1658.2500000
LME.Lead,D,02/06/20,00:00:00,1699.5000000
LME.Lead,D,03/06/20,00:00:00,1702.2500000
LME.Lead,D,04/06/20,00:00:00,1724.0000000
LME.Lead,D,05/06/20,00:00:00,1757.5800000
LME.Lead,D,08/06/20,00:00:00,1741.8000000
LME.Lead,D,09/06/20,00:00:00,1744.2500000
LME.Lead,D,10/06/20,00:00:00,1731.0000000
LME.Lead,D,11/06/20,00:00:00,1721.0500000
LME.Lead,D,12/06/20,00:00:00,1740.6000000
LME.Lead,D,15/06/20,00:00:00,1722.2500000
LME.Lead,D,16/06/20,00:00:00,1744.7500000
LME.Lead,D,17/06/20,00:00:00,1785.5000000
LME.Lead,D,18/06/20,00:00:00,1798.5000000
LME.Lead,D,19/06/20,00:00:00,1768.0000000
LME.Lead,D,22/06/20,00:00:00,1763.5000000
LME.Lead,D,23/06/20,00:00:00,1731.7500000
LME.Lead,D,24/06/20,00:00:00,1748.0000000
LME.Lead,D,25/06/20,00:00:00,1772.0200000
LME.Lead,D,26/06/20,00:00:00,1777.0000000
LME.Lead,D,29/06/20,00:00:00,1791.7500000
LME.Lead,D,30/06/20,00:00:00,1763.2500000
LME.Lead,D,01/07/20,00:00:00,1756.7500000
LME.Lead,D,02/07/20,00:00:00,1766.7500000
LME.Lead,D,03/07/20,00:00:00,1766.0000000
LME.Lead,D,06/07/20,00:00:00,1783.0000000
LME.Lead,D,07/07/20,00:00:00,1817.2500000
LME.Lead,D,08/07/20,00:00:00,1800.2500000
LME.Lead,D,09/07/20,00:00:00,1829.7500000
LME.Lead,D,10/07/20,00:00:00,1841.9500000
LME.Lead,D,13/07/20,00:00:00,1868.0000000
LME.Lead,D,14/07/20,00:00:00,1831.6000000
LME.Lead,D,15/07/20,00:00:00,1837.0000000
LME.Lead,D,16/07/20,00:00:00,1831.0000000
LME.Lead,D,17/07/20,00:00:00,1793.5000000
LME.Lead,D,20/07/20,00:00:00,1819.0000000
LME.Lead,D,21/07/20,00:00:00,1827.0000000
LME.Lead,D,22/07/20,00:00:00,1784.7500000
LME.Lead,D,23/07/20,00:00:00,1807.0000000
LME.Lead,D,24/07/20,00:00:00,1799.0000000
LME.Lead,D,27/07/20,00:00:00,1837.5900000
LME.Lead,D,28/07/20,00:00:00,1850.9000000
LME.Lead,D,29/07/20,00:00:00,1855.5100000
LME.Lead,D,30/07/20,00:00:00,1855.7500000
LME.Lead,D,31/07/20,00:00:00,1861.7500000
LME.Lead,D,03/08/20,00:00:00,1849.0400000
LME.Lead,D,04/08/20,00:00:00,1862.5000000
LME.Lead,D,05/08/20,00:00:00,1915.0000000
LME.Lead,D,06/08/20,00:00:00,1948.5000000
LME.Lead,D,07/08/20,00:00:00,1896.2500000
LME.Lead,D,10/08/20,00:00:00,1880.0000000
LME.Lead,D,11/08/20,00:00:00,1941.8600000
LME.Lead,D,12/08/20,00:00:00,1938.4700000
LME.Lead,D,13/08/20,00:00:00,1926.4500000
LME.Lead,D,14/08/20,00:00:00,1937.5000000
LME.Lead,D,17/08/20,00:00:00,1955.0000000
LME.Lead,D,18/08/20,00:00:00,1971.2500000
LME.Lead,D,19/08/20,00:00:00,1990.2500000
LME.Lead,D,20/08/20,00:00:00,1973.2500000
LME.Lead,D,21/08/20,00:00:00,1949.6000000
LME.Lead,D,24/08/20,00:00:00,1955.7500000
LME.Lead,D,25/08/20,00:00:00,1969.5000000
LME.Lead,D,26/08/20,00:00:00,1950.2500000
LME.Lead,D,27/08/20,00:00:00,1957.2500000
LME.Lead,D,28/08/20,00:00:00,1947.0000000
LME.Lead,D,01/09/20,00:00:00,1945.7500000
LME.Lead,D,02/09/20,00:00:00,1910.7500000
LME.Lead,D,03/09/20,00:00:00,1918.2500000
LME.Lead,D,04/09/20,00:00:00,1948.0000000
LME.Lead,D,07/09/20,00:00:00,1945.5000000
LME.Lead,D,08/09/20,00:00:00,1875.5000000
LME.Lead,D,09/09/20,00:00:00,1865.7500000
LME.Lead,D,10/09/20,00:00:00,1854.6400000
LME.Lead,D,11/09/20,00:00:00,1860.5000000
LME.Lead,D,14/09/20,00:00:00,1899.3000000
LME.Lead,D,15/09/20,00:00:00,1881.2500000
LME.Lead,D,16/09/20,00:00:00,1867.5000000
LME.Lead,D,17/09/20,00:00:00,1885.1700000
LME.Lead,D,18/09/20,00:00:00,1887.9000000
LME.Lead,D,21/09/20,00:00:00,1863.5000000
LME.Lead,D,22/09/20,00:00:00,1859.7500000
LME.Lead,D,23/09/20,00:00:00,1853.3000000
LME.Lead,D,24/09/20,00:00:00,1832.7500000
LME.Lead,D,25/09/20,00:00:00,1811.0000000
LME.Lead,D,28/09/20,00:00:00,1813.0000000
LME.Lead,D,29/09/20,00:00:00,1823.0000000
LME.Lead,D,30/09/20,00:00:00,1802.0000000
LME.Lead,D,01/10/20,00:00:00,1784.0000000
LME.Lead,D,02/10/20,00:00:00,1748.7500000
LME.Lead,D,05/10/20,00:00:00,1735.7500000
LME.Lead,D,06/10/20,00:00:00,1761.7500000
LME.Lead,D,07/10/20,00:00:00,1784.0000000
LME.Lead,D,08/10/20,00:00:00,1776.7500000
LME.Lead,D,09/10/20,00:00:00,1798.5000000
LME.Lead,D,12/10/20,00:00:00,1836.3800000
LME.Lead,D,13/10/20,00:00:00,1788.6000000
LME.Lead,D,14/10/20,00:00:00,1778.5000000
LME.Lead,D,15/10/20,00:00:00,1756.1000000
LME.Lead,D,16/10/20,00:00:00,1732.7500000
LME.Lead,D,19/10/20,00:00:00,1737.7500000
LME.Lead,D,20/10/20,00:00:00,1748.0000000
LME.Lead,D,21/10/20,00:00:00,1796.5000000
LME.Lead,D,22/10/20,00:00:00,1797.0000000
LME.Lead,D,23/10/20,00:00:00,1770.7500000
LME.Lead,D,26/10/20,00:00:00,1763.0000000
LME.Lead,D,27/10/20,00:00:00,1759.7500000
LME.Lead,D,28/10/20,00:00:00,1784.5000000
LME.Lead,D,29/10/20,00:00:00,1832.2500000
LME.Lead,D,30/10/20,00:00:00,1806.5000000
LME.Lead,D,02/11/20,00:00:00,1785.2500000
LME.Lead,D,03/11/20,00:00:00,1798.7500000
LME.Lead,D,04/11/20,00:00:00,1829.0000000
LME.Lead,D,05/11/20,00:00:00,1834.2500000
LME.Lead,D,06/11/20,00:00:00,1825.2500000
LME.Lead,D,09/11/20,00:00:00,1813.7500000
LME.Lead,D,10/11/20,00:00:00,1831.2500000
LME.Lead,D,11/11/20,00:00:00,1855.5000000
LME.Lead,D,12/11/20,00:00:00,1881.8500000
