<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
NYMEX.PA,D,16/02/20,00:00:00,2336.4000000
NYMEX.PA,D,17/02/20,00:00:00,2423.5000000
NYMEX.PA,D,18/02/20,00:00:00,2540.0000000
NYMEX.PA,D,19/02/20,00:00:00,2660.8000000
NYMEX.PA,D,20/02/20,00:00:00,2614.9000000
NYMEX.PA,D,21/02/20,00:00:00,2614.0000000
NYMEX.PA,D,23/02/20,00:00:00,2625.0000000
NYMEX.PA,D,24/02/20,00:00:00,2541.8000000
NYMEX.PA,D,25/02/20,00:00:00,2620.5000000
NYMEX.PA,D,26/02/20,00:00:00,2720.0000000
NYMEX.PA,D,27/02/20,00:00:00,2781.2000000
NYMEX.PA,D,28/02/20,00:00:00,2500.0000000
NYMEX.PA,D,01/03/20,00:00:00,2436.5000000
NYMEX.PA,D,02/03/20,00:00:00,2447.1000000
NYMEX.PA,D,03/03/20,00:00:00,2397.4000000
NYMEX.PA,D,04/03/20,00:00:00,2454.8000000
NYMEX.PA,D,05/03/20,00:00:00,2453.3000000
NYMEX.PA,D,06/03/20,00:00:00,2462.2000000
NYMEX.PA,D,08/03/20,00:00:00,2389.0000000
NYMEX.PA,D,09/03/20,00:00:00,2399.0000000
NYMEX.PA,D,10/03/20,00:00:00,2325.6000000
NYMEX.PA,D,11/03/20,00:00:00,2212.6000000
NYMEX.PA,D,12/03/20,00:00:00,1759.8000000
NYMEX.PA,D,13/03/20,00:00:00,1658.0000000
NYMEX.PA,D,15/03/20,00:00:00,1620.0000000
NYMEX.PA,D,16/03/20,00:00:00,1499.9000000
NYMEX.PA,D,17/03/20,00:00:00,1499.9000000
NYMEX.PA,D,18/03/20,00:00:00,1501.0000000
NYMEX.PA,D,19/03/20,00:00:00,1522.4000000
NYMEX.PA,D,20/03/20,00:00:00,1517.0000000
NYMEX.PA,D,22/03/20,00:00:00,1483.3000000
NYMEX.PA,D,23/03/20,00:00:00,1666.0000000
NYMEX.PA,D,24/03/20,00:00:00,1853.5000000
NYMEX.PA,D,25/03/20,00:00:00,2233.0000000
NYMEX.PA,D,26/03/20,00:00:00,2188.0000000
NYMEX.PA,D,27/03/20,00:00:00,2145.4000000
NYMEX.PA,D,29/03/20,00:00:00,2182.6000000
NYMEX.PA,D,30/03/20,00:00:00,2217.0000000
NYMEX.PA,D,31/03/20,00:00:00,2237.2000000
NYMEX.PA,D,01/04/20,00:00:00,2168.0000000
NYMEX.PA,D,02/04/20,00:00:00,2141.3000000
NYMEX.PA,D,03/04/20,00:00:00,2118.0000000
NYMEX.PA,D,05/04/20,00:00:00,2121.3000000
NYMEX.PA,D,06/04/20,00:00:00,2106.8000000
NYMEX.PA,D,07/04/20,00:00:00,2100.0000000
