<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
NYMEX.PL,D,16/02/20,00:00:00,969.6000000
NYMEX.PL,D,17/02/20,00:00:00,973.1000000
NYMEX.PL,D,18/02/20,00:00:00,995.6000000
NYMEX.PL,D,19/02/20,00:00:00,1011.3000000
NYMEX.PL,D,20/02/20,00:00:00,986.2000000
NYMEX.PL,D,21/02/20,00:00:00,976.9000000
NYMEX.PL,D,23/02/20,00:00:00,977.6000000
NYMEX.PL,D,24/02/20,00:00:00,965.7000000
NYMEX.PL,D,25/02/20,00:00:00,935.8000000
NYMEX.PL,D,26/02/20,00:00:00,911.3000000
NYMEX.PL,D,27/02/20,00:00:00,903.7000000
NYMEX.PL,D,28/02/20,00:00:00,866.4000000
NYMEX.PL,D,01/03/20,00:00:00,853.5000000
NYMEX.PL,D,02/03/20,00:00:00,869.1000000
NYMEX.PL,D,03/03/20,00:00:00,878.5000000
NYMEX.PL,D,04/03/20,00:00:00,875.6000000
NYMEX.PL,D,05/03/20,00:00:00,872.8000000
NYMEX.PL,D,06/03/20,00:00:00,904.1000000
NYMEX.PL,D,08/03/20,00:00:00,899.0000000
NYMEX.PL,D,09/03/20,00:00:00,872.5000000
NYMEX.PL,D,10/03/20,00:00:00,873.5000000
NYMEX.PL,D,11/03/20,00:00:00,863.3000000
NYMEX.PL,D,12/03/20,00:00:00,762.4000000
NYMEX.PL,D,13/03/20,00:00:00,763.3000000
NYMEX.PL,D,15/03/20,00:00:00,758.2000000
NYMEX.PL,D,16/03/20,00:00:00,666.2000000
NYMEX.PL,D,17/03/20,00:00:00,669.0000000
NYMEX.PL,D,18/03/20,00:00:00,641.9000000
NYMEX.PL,D,19/03/20,00:00:00,595.2000000
NYMEX.PL,D,20/03/20,00:00:00,611.4000000
NYMEX.PL,D,22/03/20,00:00:00,606.0000000
NYMEX.PL,D,23/03/20,00:00:00,665.2000000
NYMEX.PL,D,24/03/20,00:00:00,734.5000000
NYMEX.PL,D,25/03/20,00:00:00,733.6000000
NYMEX.PL,D,26/03/20,00:00:00,740.8000000
NYMEX.PL,D,27/03/20,00:00:00,738.4000000
NYMEX.PL,D,29/03/20,00:00:00,738.7000000
NYMEX.PL,D,30/03/20,00:00:00,718.1000000
NYMEX.PL,D,31/03/20,00:00:00,718.1000000
NYMEX.PL,D,01/04/20,00:00:00,719.3000000
NYMEX.PL,D,02/04/20,00:00:00,729.5000000
NYMEX.PL,D,03/04/20,00:00:00,724.6000000
NYMEX.PL,D,05/04/20,00:00:00,724.7000000
NYMEX.PL,D,06/04/20,00:00:00,746.6000000
NYMEX.PL,D,07/04/20,00:00:00,738.6000000
NYMEX.PL,D,08/04/20,00:00:00,736.5000000
NYMEX.PL,D,09/04/20,00:00:00,751.8000000
NYMEX.PL,D,12/04/20,00:00:00,748.5000000
NYMEX.PL,D,13/04/20,00:00:00,754.1000000
NYMEX.PL,D,14/04/20,00:00:00,819.2000000
NYMEX.PL,D,15/04/20,00:00:00,801.0000000
NYMEX.PL,D,16/04/20,00:00:00,805.2000000
NYMEX.PL,D,17/04/20,00:00:00,791.5000000
NYMEX.PL,D,19/04/20,00:00:00,786.9000000
NYMEX.PL,D,20/04/20,00:00:00,788.3000000
NYMEX.PL,D,21/04/20,00:00:00,757.7000000
NYMEX.PL,D,22/04/20,00:00:00,768.9000000
NYMEX.PL,D,23/04/20,00:00:00,791.3000000
NYMEX.PL,D,24/04/20,00:00:00,781.7000000
NYMEX.PL,D,26/04/20,00:00:00,780.3000000
NYMEX.PL,D,27/04/20,00:00:00,776.6000000
NYMEX.PL,D,28/04/20,00:00:00,794.3000000
NYMEX.PL,D,29/04/20,00:00:00,810.8000000
NYMEX.PL,D,30/04/20,00:00:00,805.5000000
NYMEX.PL,D,01/05/20,00:00:00,778.6000000
NYMEX.PL,D,03/05/20,00:00:00,768.3000000
NYMEX.PL,D,04/05/20,00:00:00,780.4000000
NYMEX.PL,D,05/05/20,00:00:00,781.6000000
NYMEX.PL,D,06/05/20,00:00:00,764.5000000
NYMEX.PL,D,07/05/20,00:00:00,781.4000000
NYMEX.PL,D,08/05/20,00:00:00,790.9000000
NYMEX.PL,D,10/05/20,00:00:00,796.2000000
NYMEX.PL,D,11/05/20,00:00:00,781.2000000
NYMEX.PL,D,12/05/20,00:00:00,768.2000000
NYMEX.PL,D,13/05/20,00:00:00,776.8000000
NYMEX.PL,D,14/05/20,00:00:00,785.6000000
NYMEX.PL,D,15/05/20,00:00:00,822.1000000
NYMEX.PL,D,17/05/20,00:00:00,841.2000000
NYMEX.PL,D,18/05/20,00:00:00,862.1000000
NYMEX.PL,D,19/05/20,00:00:00,893.8000000
NYMEX.PL,D,20/05/20,00:00:00,932.0000000
NYMEX.PL,D,21/05/20,00:00:00,869.3000000
NYMEX.PL,D,22/05/20,00:00:00,886.6000000
NYMEX.PL,D,24/05/20,00:00:00,885.9000000
NYMEX.PL,D,25/05/20,00:00:00,895.2000000
NYMEX.PL,D,26/05/20,00:00:00,870.0000000
NYMEX.PL,D,27/05/20,00:00:00,879.4000000
NYMEX.PL,D,28/05/20,00:00:00,865.0000000
NYMEX.PL,D,29/05/20,00:00:00,873.1000000
NYMEX.PL,D,31/05/20,00:00:00,877.2000000
NYMEX.PL,D,01/06/20,00:00:00,900.3000000
NYMEX.PL,D,02/06/20,00:00:00,872.7000000
NYMEX.PL,D,03/06/20,00:00:00,858.0000000
NYMEX.PL,D,04/06/20,00:00:00,866.2000000
NYMEX.PL,D,05/06/20,00:00:00,834.5000000
NYMEX.PL,D,07/06/20,00:00:00,835.5000000
NYMEX.PL,D,08/06/20,00:00:00,863.8000000
NYMEX.PL,D,09/06/20,00:00:00,860.1000000
NYMEX.PL,D,10/06/20,00:00:00,850.0000000
NYMEX.PL,D,11/06/20,00:00:00,812.8000000
NYMEX.PL,D,12/06/20,00:00:00,820.4000000
NYMEX.PL,D,14/06/20,00:00:00,816.8000000
NYMEX.PL,D,15/06/20,00:00:00,831.1000000
NYMEX.PL,D,16/06/20,00:00:00,841.4000000
NYMEX.PL,D,17/06/20,00:00:00,833.8000000
NYMEX.PL,D,18/06/20,00:00:00,814.9000000
NYMEX.PL,D,19/06/20,00:00:00,824.6000000
NYMEX.PL,D,21/06/20,00:00:00,826.6000000
NYMEX.PL,D,22/06/20,00:00:00,844.7000000
NYMEX.PL,D,23/06/20,00:00:00,843.9000000
NYMEX.PL,D,24/06/20,00:00:00,796.7000000
NYMEX.PL,D,25/06/20,00:00:00,810.0000000
NYMEX.PL,D,26/06/20,00:00:00,804.0000000
