<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
SANDP-500,D,18/02/20,00:00:00,3370.2900000
SANDP-500,D,19/02/20,00:00:00,3386.1500000
SANDP-500,D,20/02/20,00:00:00,3373.2300000
SANDP-500,D,21/02/20,00:00:00,3337.7500000
SANDP-500,D,24/02/20,00:00:00,3225.8900000
SANDP-500,D,25/02/20,00:00:00,3128.2100000
SANDP-500,D,26/02/20,00:00:00,3116.3900000
SANDP-500,D,27/02/20,00:00:00,2978.7600000
SANDP-500,D,28/02/20,00:00:00,2954.2200000
SANDP-500,D,02/03/20,00:00:00,3090.2300000
SANDP-500,D,03/03/20,00:00:00,3003.3700000
SANDP-500,D,04/03/20,00:00:00,3130.1200000
SANDP-500,D,05/03/20,00:00:00,3023.9400000
SANDP-500,D,06/03/20,00:00:00,2972.3700000
SANDP-500,D,09/03/20,00:00:00,2746.5600000
SANDP-500,D,10/03/20,00:00:00,2882.2300000
SANDP-500,D,11/03/20,00:00:00,2741.3800000
SANDP-500,D,12/03/20,00:00:00,2480.6400000
SANDP-500,D,13/03/20,00:00:00,2711.0200000
SANDP-500,D,16/03/20,00:00:00,2386.1300000
SANDP-500,D,17/03/20,00:00:00,2529.1900000
SANDP-500,D,18/03/20,00:00:00,2398.1000000
SANDP-500,D,19/03/20,00:00:00,2409.3900000
SANDP-500,D,20/03/20,00:00:00,2304.9200000
SANDP-500,D,23/03/20,00:00:00,2237.4000000
SANDP-500,D,24/03/20,00:00:00,2447.3300000
SANDP-500,D,25/03/20,00:00:00,2475.5600000
SANDP-500,D,26/03/20,00:00:00,2630.0700000
SANDP-500,D,27/03/20,00:00:00,2541.4700000
SANDP-500,D,30/03/20,00:00:00,2626.6500000
SANDP-500,D,31/03/20,00:00:00,2584.5900000
SANDP-500,D,01/04/20,00:00:00,2470.5000000
SANDP-500,D,02/04/20,00:00:00,2526.9000000
SANDP-500,D,03/04/20,00:00:00,2488.6500000
SANDP-500,D,06/04/20,00:00:00,2663.6800000
SANDP-500,D,07/04/20,00:00:00,2659.4100000
SANDP-500,D,08/04/20,00:00:00,2749.9800000
SANDP-500,D,09/04/20,00:00:00,2789.8200000
SANDP-500,D,13/04/20,00:00:00,2761.6300000
SANDP-500,D,14/04/20,00:00:00,2846.0600000
SANDP-500,D,15/04/20,00:00:00,2783.3600000
SANDP-500,D,16/04/20,00:00:00,2799.5500000
SANDP-500,D,17/04/20,00:00:00,2874.5600000
SANDP-500,D,20/04/20,00:00:00,2823.1600000
SANDP-500,D,21/04/20,00:00:00,2736.5600000
SANDP-500,D,22/04/20,00:00:00,2799.3100000
SANDP-500,D,23/04/20,00:00:00,2797.8000000
SANDP-500,D,24/04/20,00:00:00,2836.7000000
SANDP-500,D,27/04/20,00:00:00,2878.4800000
SANDP-500,D,28/04/20,00:00:00,2863.3900000
SANDP-500,D,29/04/20,00:00:00,2939.5100000
SANDP-500,D,30/04/20,00:00:00,2912.4300000
SANDP-500,D,01/05/20,00:00:00,2830.7100000
SANDP-500,D,04/05/20,00:00:00,2842.7400000
SANDP-500,D,05/05/20,00:00:00,2868.4400000
SANDP-500,D,06/05/20,00:00:00,2848.4200000
SANDP-500,D,07/05/20,00:00:00,2881.1900000
SANDP-500,D,08/05/20,00:00:00,2929.8000000
SANDP-500,D,11/05/20,00:00:00,2930.3200000
SANDP-500,D,12/05/20,00:00:00,2870.1200000
SANDP-500,D,13/05/20,00:00:00,2822.1400000
SANDP-500,D,14/05/20,00:00:00,2852.5000000
SANDP-500,D,15/05/20,00:00:00,2863.7000000
SANDP-500,D,18/05/20,00:00:00,2953.9100000
SANDP-500,D,19/05/20,00:00:00,2922.9400000
SANDP-500,D,20/05/20,00:00:00,2971.5500000
SANDP-500,D,21/05/20,00:00:00,2948.5100000
SANDP-500,D,22/05/20,00:00:00,2955.4500000
SANDP-500,D,26/05/20,00:00:00,2992.0000000
SANDP-500,D,27/05/20,00:00:00,3036.1300000
SANDP-500,D,28/05/20,00:00:00,3029.6500000
SANDP-500,D,29/05/20,00:00:00,3049.1400000
SANDP-500,D,01/06/20,00:00:00,3055.7300000
SANDP-500,D,02/06/20,00:00:00,3080.8200000
SANDP-500,D,03/06/20,00:00:00,3122.8700000
SANDP-500,D,04/06/20,00:00:00,3112.3500000
SANDP-500,D,05/06/20,00:00:00,3193.9300000
SANDP-500,D,08/06/20,00:00:00,3232.3900000
SANDP-500,D,09/06/20,00:00:00,3207.1800000
SANDP-500,D,10/06/20,00:00:00,3190.1400000
SANDP-500,D,11/06/20,00:00:00,3002.1000000
SANDP-500,D,12/06/20,00:00:00,3040.8500000
SANDP-500,D,15/06/20,00:00:00,3066.5900000
SANDP-500,D,16/06/20,00:00:00,3124.7400000
SANDP-500,D,17/06/20,00:00:00,3113.4900000
SANDP-500,D,18/06/20,00:00:00,3115.3400000
SANDP-500,D,19/06/20,00:00:00,3097.7400000
SANDP-500,D,22/06/20,00:00:00,3117.8600000
SANDP-500,D,23/06/20,00:00:00,3131.2900000
SANDP-500,D,24/06/20,00:00:00,3050.3300000
SANDP-500,D,25/06/20,00:00:00,3083.7600000
SANDP-500,D,26/06/20,00:00:00,3009.0500000
SANDP-500,D,29/06/20,00:00:00,3053.2400000
SANDP-500,D,30/06/20,00:00:00,3100.2900000
SANDP-500,D,01/07/20,00:00:00,3115.8600000
SANDP-500,D,02/07/20,00:00:00,3130.0100000
SANDP-500,D,06/07/20,00:00:00,3179.7200000
