<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
comex.GC,D,16/02/20,00:00:00,1586.0000000
comex.GC,D,17/02/20,00:00:00,1587.0000000
comex.GC,D,18/02/20,00:00:00,1603.7000000
comex.GC,D,19/02/20,00:00:00,1613.0000000
comex.GC,D,20/02/20,00:00:00,1624.8000000
comex.GC,D,21/02/20,00:00:00,1645.9000000
comex.GC,D,23/02/20,00:00:00,1668.2000000
comex.GC,D,24/02/20,00:00:00,1656.1000000
comex.GC,D,25/02/20,00:00:00,1641.9000000
comex.GC,D,26/02/20,00:00:00,1645.5000000
comex.GC,D,27/02/20,00:00:00,1647.3000000
comex.GC,D,28/02/20,00:00:00,1587.3000000
comex.GC,D,01/03/20,00:00:00,1586.1000000
comex.GC,D,02/03/20,00:00:00,1592.9000000
comex.GC,D,03/03/20,00:00:00,1646.8000000
comex.GC,D,04/03/20,00:00:00,1637.4000000
comex.GC,D,05/03/20,00:00:00,1675.3000000
comex.GC,D,06/03/20,00:00:00,1674.2000000
comex.GC,D,08/03/20,00:00:00,1701.2000000
comex.GC,D,09/03/20,00:00:00,1666.8000000
comex.GC,D,10/03/20,00:00:00,1652.4000000
comex.GC,D,11/03/20,00:00:00,1643.4000000
comex.GC,D,12/03/20,00:00:00,1576.7000000
comex.GC,D,13/03/20,00:00:00,1528.9000000
comex.GC,D,15/03/20,00:00:00,1557.5000000
comex.GC,D,16/03/20,00:00:00,1507.2000000
comex.GC,D,17/03/20,00:00:00,1538.3000000
comex.GC,D,18/03/20,00:00:00,1499.6000000
comex.GC,D,19/03/20,00:00:00,1474.1000000
comex.GC,D,20/03/20,00:00:00,1501.1000000
comex.GC,D,22/03/20,00:00:00,1493.9000000
comex.GC,D,23/03/20,00:00:00,1575.5000000
comex.GC,D,24/03/20,00:00:00,1692.3000000
comex.GC,D,25/03/20,00:00:00,1638.4000000
comex.GC,D,26/03/20,00:00:00,1636.6000000
comex.GC,D,27/03/20,00:00:00,1630.6000000
comex.GC,D,29/03/20,00:00:00,1642.6000000
comex.GC,D,30/03/20,00:00:00,1638.2000000
comex.GC,D,31/03/20,00:00:00,1592.2000000
comex.GC,D,01/04/20,00:00:00,1604.9000000
comex.GC,D,02/04/20,00:00:00,1637.0000000
comex.GC,D,03/04/20,00:00:00,1648.8000000
comex.GC,D,05/04/20,00:00:00,1651.0000000
comex.GC,D,06/04/20,00:00:00,1728.0000000
comex.GC,D,07/04/20,00:00:00,1679.2000000
comex.GC,D,08/04/20,00:00:00,1680.5000000
comex.GC,D,09/04/20,00:00:00,1740.6000000
comex.GC,D,12/04/20,00:00:00,1738.7000000
comex.GC,D,13/04/20,00:00:00,1768.2000000
comex.GC,D,14/04/20,00:00:00,1751.3000000
comex.GC,D,15/04/20,00:00:00,1742.4000000
comex.GC,D,16/04/20,00:00:00,1730.8000000
comex.GC,D,17/04/20,00:00:00,1694.5000000
comex.GC,D,19/04/20,00:00:00,1689.5000000
comex.GC,D,20/04/20,00:00:00,1706.3000000
comex.GC,D,21/04/20,00:00:00,1706.0000000
comex.GC,D,22/04/20,00:00:00,1735.1000000
comex.GC,D,23/04/20,00:00:00,1748.6000000
comex.GC,D,24/04/20,00:00:00,1745.7000000
comex.GC,D,26/04/20,00:00:00,1743.4000000
comex.GC,D,27/04/20,00:00:00,1720.5000000
comex.GC,D,28/04/20,00:00:00,1720.1000000
comex.GC,D,29/04/20,00:00:00,1729.8000000
comex.GC,D,30/04/20,00:00:00,1695.6000000
comex.GC,D,01/05/20,00:00:00,1710.2000000
comex.GC,D,03/05/20,00:00:00,1707.1000000
comex.GC,D,04/05/20,00:00:00,1711.8000000
comex.GC,D,05/05/20,00:00:00,1712.5000000
comex.GC,D,06/05/20,00:00:00,1692.2000000
comex.GC,D,07/05/20,00:00:00,1724.7000000
comex.GC,D,08/05/20,00:00:00,1704.8000000
comex.GC,D,10/05/20,00:00:00,1708.7000000
comex.GC,D,11/05/20,00:00:00,1699.4000000
comex.GC,D,12/05/20,00:00:00,1705.7000000
comex.GC,D,13/05/20,00:00:00,1726.5000000
comex.GC,D,14/05/20,00:00:00,1742.1000000
comex.GC,D,15/05/20,00:00:00,1754.1000000
comex.GC,D,17/05/20,00:00:00,1766.5000000
comex.GC,D,18/05/20,00:00:00,1736.9000000
comex.GC,D,19/05/20,00:00:00,1749.6000000
comex.GC,D,20/05/20,00:00:00,1749.8000000
comex.GC,D,21/05/20,00:00:00,1725.5000000
comex.GC,D,22/05/20,00:00:00,1734.7000000
comex.GC,D,24/05/20,00:00:00,1730.6000000
comex.GC,D,25/05/20,00:00:00,1727.1000000
comex.GC,D,26/05/20,00:00:00,1705.5000000
comex.GC,D,27/05/20,00:00:00,1707.9000000
comex.GC,D,28/05/20,00:00:00,1736.2000000
comex.GC,D,29/05/20,00:00:00,1743.0000000
comex.GC,D,31/05/20,00:00:00,1755.2000000
comex.GC,D,01/06/20,00:00:00,1755.2000000
comex.GC,D,02/06/20,00:00:00,1733.2000000
comex.GC,D,03/06/20,00:00:00,1703.1000000
comex.GC,D,04/06/20,00:00:00,1718.7000000
comex.GC,D,05/06/20,00:00:00,1688.6000000
comex.GC,D,07/06/20,00:00:00,1684.6000000
comex.GC,D,08/06/20,00:00:00,1703.8000000
comex.GC,D,09/06/20,00:00:00,1719.4000000
comex.GC,D,10/06/20,00:00:00,1744.4000000
comex.GC,D,11/06/20,00:00:00,1733.2000000
comex.GC,D,12/06/20,00:00:00,1737.3000000
comex.GC,D,14/06/20,00:00:00,1740.9000000
comex.GC,D,15/06/20,00:00:00,1730.5000000
comex.GC,D,16/06/20,00:00:00,1734.7000000
comex.GC,D,17/06/20,00:00:00,1737.0000000
comex.GC,D,18/06/20,00:00:00,1730.6000000
comex.GC,D,19/06/20,00:00:00,1756.2000000
comex.GC,D,21/06/20,00:00:00,1762.5000000
comex.GC,D,22/06/20,00:00:00,1767.2000000
comex.GC,D,23/06/20,00:00:00,1784.9000000
comex.GC,D,24/06/20,00:00:00,1771.6000000
comex.GC,D,25/06/20,00:00:00,1775.8000000
comex.GC,D,26/06/20,00:00:00,1784.8000000
comex.GC,D,28/06/20,00:00:00,1784.8000000
comex.GC,D,29/06/20,00:00:00,1784.8000000
comex.GC,D,30/06/20,00:00:00,1799.4000000
comex.GC,D,01/07/20,00:00:00,1778.3000000
comex.GC,D,02/07/20,00:00:00,1787.0000000
comex.GC,D,03/07/20,00:00:00,1787.3000000
comex.GC,D,05/07/20,00:00:00,1786.4000000
comex.GC,D,06/07/20,00:00:00,1794.9000000
comex.GC,D,07/07/20,00:00:00,1807.1000000
comex.GC,D,08/07/20,00:00:00,1818.4000000
comex.GC,D,09/07/20,00:00:00,1808.9000000
comex.GC,D,10/07/20,00:00:00,1801.8000000
comex.GC,D,12/07/20,00:00:00,1803.9000000
comex.GC,D,13/07/20,00:00:00,1804.9000000
comex.GC,D,14/07/20,00:00:00,1812.7000000
comex.GC,D,15/07/20,00:00:00,1815.9000000
comex.GC,D,16/07/20,00:00:00,1798.1000000
comex.GC,D,17/07/20,00:00:00,1812.1000000
comex.GC,D,19/07/20,00:00:00,1810.3000000
comex.GC,D,20/07/20,00:00:00,1819.3000000
comex.GC,D,21/07/20,00:00:00,1844.8000000
comex.GC,D,22/07/20,00:00:00,1869.0000000
comex.GC,D,23/07/20,00:00:00,1883.3000000
comex.GC,D,24/07/20,00:00:00,1900.3000000
comex.GC,D,26/07/20,00:00:00,1910.8000000
comex.GC,D,27/07/20,00:00:00,1959.3000000
comex.GC,D,28/07/20,00:00:00,1949.7000000
comex.GC,D,29/07/20,00:00:00,1959.3000000
comex.GC,D,30/07/20,00:00:00,1973.3000000
comex.GC,D,31/07/20,00:00:00,1994.0000000
comex.GC,D,02/08/20,00:00:00,1998.8000000
comex.GC,D,03/08/20,00:00:00,1991.8000000
comex.GC,D,04/08/20,00:00:00,2048.3000000
comex.GC,D,05/08/20,00:00:00,2051.2000000
comex.GC,D,06/08/20,00:00:00,2082.0000000
comex.GC,D,07/08/20,00:00:00,2046.1000000
comex.GC,D,09/08/20,00:00:00,2037.2000000
comex.GC,D,10/08/20,00:00:00,2038.2000000
comex.GC,D,11/08/20,00:00:00,1919.1000000
comex.GC,D,12/08/20,00:00:00,1932.1000000
comex.GC,D,13/08/20,00:00:00,1965.5000000
comex.GC,D,14/08/20,00:00:00,1953.7000000
comex.GC,D,16/08/20,00:00:00,1943.0000000
comex.GC,D,17/08/20,00:00:00,1992.4000000
comex.GC,D,18/08/20,00:00:00,2014.4000000
comex.GC,D,19/08/20,00:00:00,1935.2000000
comex.GC,D,20/08/20,00:00:00,1960.7000000
comex.GC,D,21/08/20,00:00:00,1947.4000000
comex.GC,D,23/08/20,00:00:00,1942.5000000
comex.GC,D,24/08/20,00:00:00,1936.1000000
comex.GC,D,25/08/20,00:00:00,1936.1000000
comex.GC,D,26/08/20,00:00:00,1961.7000000
comex.GC,D,27/08/20,00:00:00,1933.8000000
comex.GC,D,28/08/20,00:00:00,1972.6000000
comex.GC,D,30/08/20,00:00:00,1982.0000000
comex.GC,D,31/08/20,00:00:00,1974.3000000
comex.GC,D,01/09/20,00:00:00,1979.5000000
comex.GC,D,02/09/20,00:00:00,1950.7000000
comex.GC,D,03/09/20,00:00:00,1934.5000000
comex.GC,D,04/09/20,00:00:00,1940.9000000
comex.GC,D,06/09/20,00:00:00,1940.6000000
comex.GC,D,07/09/20,00:00:00,1937.1000000
comex.GC,D,08/09/20,00:00:00,1937.0000000
comex.GC,D,09/09/20,00:00:00,1955.4000000
comex.GC,D,10/09/20,00:00:00,1952.5000000
comex.GC,D,11/09/20,00:00:00,1948.1000000
comex.GC,D,13/09/20,00:00:00,1950.1000000
comex.GC,D,14/09/20,00:00:00,1966.2000000
comex.GC,D,15/09/20,00:00:00,1961.5000000
comex.GC,D,16/09/20,00:00:00,1968.1000000
comex.GC,D,17/09/20,00:00:00,1954.5000000
comex.GC,D,18/09/20,00:00:00,1957.1000000
comex.GC,D,20/09/20,00:00:00,1955.2000000
comex.GC,D,21/09/20,00:00:00,1922.4000000
comex.GC,D,22/09/20,00:00:00,1908.8000000
comex.GC,D,23/09/20,00:00:00,1857.2000000
comex.GC,D,24/09/20,00:00:00,1872.0000000
comex.GC,D,25/09/20,00:00:00,1864.3000000
comex.GC,D,27/09/20,00:00:00,1865.4000000
comex.GC,D,28/09/20,00:00:00,1887.6000000
comex.GC,D,29/09/20,00:00:00,1902.1000000
