<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
comex.SI,D,16/02/20,00:00:00,17.7200000
comex.SI,D,17/02/20,00:00:00,17.7850000
comex.SI,D,18/02/20,00:00:00,18.1450000
comex.SI,D,19/02/20,00:00:00,18.3800000
comex.SI,D,20/02/20,00:00:00,18.3950000
comex.SI,D,21/02/20,00:00:00,18.4550000
comex.SI,D,23/02/20,00:00:00,18.6500000
comex.SI,D,24/02/20,00:00:00,18.5800000
comex.SI,D,25/02/20,00:00:00,18.0200000
comex.SI,D,26/02/20,00:00:00,17.8700000
comex.SI,D,27/02/20,00:00:00,17.8150000
comex.SI,D,28/02/20,00:00:00,16.6800000
comex.SI,D,01/03/20,00:00:00,16.5650000
comex.SI,D,02/03/20,00:00:00,16.8150000
comex.SI,D,03/03/20,00:00:00,17.2600000
comex.SI,D,04/03/20,00:00:00,17.1750000
comex.SI,D,05/03/20,00:00:00,17.4950000
comex.SI,D,06/03/20,00:00:00,17.3450000
comex.SI,D,08/03/20,00:00:00,17.5000000
comex.SI,D,09/03/20,00:00:00,16.9200000
comex.SI,D,10/03/20,00:00:00,16.9750000
comex.SI,D,11/03/20,00:00:00,16.7950000
comex.SI,D,12/03/20,00:00:00,15.6950000
comex.SI,D,13/03/20,00:00:00,14.6850000
comex.SI,D,15/03/20,00:00:00,14.7800000
comex.SI,D,16/03/20,00:00:00,13.0050000
comex.SI,D,17/03/20,00:00:00,12.7700000
comex.SI,D,18/03/20,00:00:00,12.2800000
comex.SI,D,19/03/20,00:00:00,12.1400000
comex.SI,D,20/03/20,00:00:00,12.6300000
comex.SI,D,22/03/20,00:00:00,12.4400000
comex.SI,D,23/03/20,00:00:00,13.8100000
comex.SI,D,24/03/20,00:00:00,14.8200000
comex.SI,D,25/03/20,00:00:00,14.6450000
comex.SI,D,26/03/20,00:00:00,14.5650000
comex.SI,D,27/03/20,00:00:00,14.6250000
comex.SI,D,29/03/20,00:00:00,14.5550000
comex.SI,D,30/03/20,00:00:00,14.1550000
comex.SI,D,31/03/20,00:00:00,14.1350000
comex.SI,D,01/04/20,00:00:00,14.0800000
comex.SI,D,02/04/20,00:00:00,14.6200000
