date,gasoline
2017-03-13,2.434
2017-03-20,2.433
2017-03-27,2.428
2017-04-03,2.471
2017-04-10,2.534
2017-04-17,2.546
2017-04-24,2.559
2017-05-01,2.522
2017-05-08,2.484
2017-05-15,2.481
2017-05-22,2.51
2017-05-29,2.516
2017-06-05,2.525
2017-06-12,2.479
2017-06-19,2.433
2017-06-26,2.404
2017-07-03,2.376
2017-07-10,2.411
2017-07-17,2.392
2017-07-24,2.426
2017-07-31,2.467
2017-08-07,2.492
2017-08-14,2.497
2017-08-21,2.474
2017-08-28,2.513
2017-09-04,2.794
2017-09-11,2.8
2017-09-18,2.75
2017-09-25,2.701
2017-10-02,2.682
2017-10-09,2.622
2017-10-16,2.605
2017-10-23,2.594
2017-10-30,2.602
2017-11-06,2.673
2017-11-13,2.706
2017-11-20,2.683
2017-11-27,2.648
2017-12-04,2.617
2017-12-11,2.601
2017-12-18,2.568
2017-12-25,2.589
2018-01-01,2.637
2018-01-08,2.639
2018-01-15,2.673
2018-01-22,2.684
2018-01-29,2.723
2018-02-05,2.753
2018-02-12,2.724
2018-02-19,2.676
2018-02-26,2.666
2018-03-05,2.679
2018-03-12,2.677
2018-03-19,2.716
2018-03-26,2.764
2018-04-02,2.817
2018-04-09,2.811
2018-04-16,2.863
2018-04-23,2.914
2018-04-30,2.961
2018-05-07,2.96
2018-05-14,2.949
2018-05-21,2.999
2018-05-28,3.039
2018-06-04,3.018
2018-06-11,2.989
2018-06-18,2.958
2018-06-25,2.913
2018-07-02,2.924
2018-07-09,2.937
2018-07-16,2.943
2018-07-23,2.911
2018-07-30,2.924
2018-08-06,2.93
2018-08-13,2.921
2018-08-20,2.9
2018-08-27,2.906
2018-09-03,2.903
2018-09-10,2.912
2018-09-17,2.921
2018-09-24,2.923
2018-10-01,2.947
2018-10-08,2.984
2018-10-15,2.961
2018-10-22,2.925
2018-10-29,2.896
2018-11-05,2.84
2018-11-12,2.773
2018-11-19,2.7
2018-11-26,2.63
2018-12-03,2.544
2018-12-10,2.511
2018-12-17,2.46
2018-12-24,2.413
2018-12-31,2.358
2019-01-07,2.329
2019-01-14,2.338
2019-01-21,2.34
2019-01-28,2.343
2019-02-04,2.341
2019-02-11,2.361
2019-02-18,2.4
2019-02-25,2.471
2019-03-04,2.502
2019-03-11,2.549
2019-03-18,2.625
2019-03-25,2.701
2019-04-01,2.77
2019-04-08,2.826
